Correlativo,Remitente,Departamento de Recepción,Departamento de Destino,Descripción,Peso (kg),Estado,Clasificación
00039,Ana Hernández,Chimaltenango,Chimaltenango,Artículos de decoración,1.2,T,Bolsa
00040,Carlos Ramírez,Chimaltenango,Izabal,Electrónicos,0.7,E,Sobre
00041,María Ruiz,Izabal,Izabal,Herramientas,1.8,T,Bolsa
00042,Carolina Morales,Huehuetenango,Sacatepéquez,Electrodomésticos,1.9,E,Sobre
00043,María Castillo,Sacatepéquez,Escuintla,Electrónicos,3.3,E,Bolsa
00044,Luisa Ruiz,Quetzaltenango,Suchitepéquez,Artículos de decoración,7.1,R,Sobre
00045,Diego Ruiz,Sacatepéquez,Izabal,Electrodomésticos,0.2,T,Paquete Mediano
00046,Ana Ramírez,Alta Verapaz,Peten,Artículos de decoración,6.2,R,Paquete Grande
00047,Carolina Ramírez,Escuintla,Izabal,Comida,3.1,T,Paquete Mediano
00048,Carolina García,Quetzaltenango,Huehuetenango,Herramientas,3.6,R,Sobre
00049,Sofía Méndez,Alta Verapaz,Huehuetenango,Electrónicos,6.0,T,Paquete Grande
00050,Juan González,Quetzaltenango,Izabal,Comida,7.1,T,Paquete Mediano
00051,Andrés Hernández,Huehuetenango,Sacatepéquez,Artículos de decoración,8.8,T,Paquete Mediano
00052,Carolina López,Izabal,Suchitepéquez,Ropa,5.5,E,Bolsa
00053,Carlos Castillo,Sacatepéquez,Huehuetenango,Electrodomésticos,0.1,E,Sobre
00054,Sofía Méndez,Huehuetenango,Huehuetenango,Electrodomésticos,8.1,R,Sobre
00055,Andrés García,Alta Verapaz,Peten,Ropa,5.4,E,Paquete Mediano
00056,Juan López,Alta Verapaz,Izabal,Electrodomésticos,2.5,R,Paquete Grande
00057,Javier Morales,Suchitepéquez,Chimaltenango,Libros,5.8,T,Paquete Mediano
00058,Andrés Rodríguez,Izabal,Sacatepéquez,Herramientas,5.3,T,Sobre
00059,Carlos García,Sacatepéquez,Alta Verapaz,Herramientas,1.8,R,Paquete Grande
00060,Ana Castillo,Peten,Izabal,Ropa,0.4,R,Paquete Mediano
00061,María Rodríguez,Alta Verapaz,Suchitepéquez,Comida,7.2,R,Bolsa
00062,Juan García,Suchitepéquez,Suchitepéquez,Electrónicos,0.4,T,Paquete Mediano
00063,María López,Chimaltenango,Guatemala,Libros,9.2,R,Bolsa
00064,Javier Hernández,Suchitepéquez,Suchitepéquez,Electrodomésticos,5.8,T,Sobre
00065,Juan Ruiz,Sacatepéquez,Huehuetenango,Electrónicos,8.4,E,Bolsa
00066,Juan Morales,Suchitepéquez,Quetzaltenango,Comida,6.9,E,Sobre
00067,Andrés Méndez,Suchitepéquez,Quetzaltenango,Electrónicos,3.5,E,Bolsa
00068,Luisa Castillo,Chimaltenango,Suchitepéquez,Artículos de decoración,3.8,T,Paquete Mediano
00069,María Méndez,Escuintla,Izabal,Artículos de decoración,7.5,E,Sobre
00070,Luisa Morales,Escuintla,Peten,Libros,8.7,R,Paquete Grande
00071,Ana López,Izabal,Peten,Artículos de decoración,8.5,E,Paquete Grande
00072,Diego López,Izabal,Huehuetenango,Artículos de decoración,7.0,E,Paquete Grande
00073,Sofía García,Alta Verapaz,Huehuetenango,Comida,1.1,E,Bolsa
00074,Juan Ramírez,Chimaltenango,Izabal,Juguetes,0.4,E,Bolsa
00075,Ana Méndez,Alta Verapaz,Escuintla,Electrónicos,3.1,E,Bolsa
00076,Ana Ruiz,Suchitepéquez,Alta Verapaz,Comida,8.2,R,Paquete Mediano
00077,Juan Rodríguez,Sacatepéquez,Huehuetenango,Electrónicos,2.5,T,Paquete Mediano
00078,María Castillo,Guatemala,Peten,Artículos de decoración,1.6,R,Paquete Grande
00079,María Rodríguez,Alta Verapaz,Sacatepéquez,Ropa,0.1,T,Paquete Mediano
00080,Sofía González,Sacatepéquez,Quetzaltenango,Comida,5.1,R,Sobre
00081,Javier Ramírez,Escuintla,Suchitepéquez,Ropa,2.0,R,Sobre
00082,María González,Izabal,Chimaltenango,Electrodomésticos,2.2,R,Bolsa
00083,Diego Hernández,Suchitepéquez,Alta Verapaz,Herramientas,7.8,R,Sobre
00084,Ana Méndez,Huehuetenango,Suchitepéquez,Artículos de decoración,7.1,R,Sobre
00085,Carolina González,Suchitepéquez,Suchitepéquez,Artículos de decoración,9.4,E,Paquete Grande
00086,Ana García,Chimaltenango,Quetzaltenango,Juguetes,1.1,R,Paquete Mediano
00087,Ana Rodríguez,Guatemala,Escuintla,Electrónicos,4.3,E,Paquete Grande
00088,Carlos Morales,Quetzaltenango,Alta Verapaz,Artículos de decoración,5.3,T,Sobre
00089,Juan Hernández,Izabal,Guatemala,Ropa,10.0,R,Sobre
00090,Carolina López,Huehuetenango,Sacatepéquez,Juguetes,7.2,T,Paquete Mediano
00091,Javier García,Quetzaltenango,Peten,Electrodomésticos,3.6,T,Bolsa
00092,Andrés Morales,Sacatepéquez,Suchitepéquez,Libros,4.7,E,Paquete Grande
00093,Carlos Ruiz,Izabal,Peten,Libros,1.6,T,Paquete Mediano
00094,María Ruiz,Alta Verapaz,Chimaltenango,Artículos de decoración,2.8,T,Sobre
00095,Carolina Méndez,Escuintla,Huehuetenango,Juguetes,5.1,R,Paquete Mediano
00096,Luisa Ruiz,Guatemala,Huehuetenango,Electrodomésticos,8.7,T,Paquete Mediano
00097,Juan López,Sacatepéquez,Sacatepéquez,Juguetes,5.4,T,Paquete Grande
00098,Carlos González,Escuintla,Guatemala,Comida,9.3,T,Bolsa
00099,Ana García,Chimaltenango,Alta Verapaz,Herramientas,5.0,R,Paquete Mediano
00100,Carlos Ruiz,Sacatepéquez,Peten,Ropa,6.7,R,Paquete Grande
00101,Juan López,Alta Verapaz,Guatemala,Herramientas,8.7,R,Paquete Mediano
00102,Carlos Hernández,Huehuetenango,Quetzaltenango,Juguetes,6.2,R,Bolsa
00103,Juan Rodríguez,Peten,Alta Verapaz,Artículos de decoración,0.4,T,Paquete Grande
00104,Carlos Hernández,Peten,Izabal,Electrónicos,3.1,T,Sobre
00105,Andrés Rodríguez,Izabal,Alta Verapaz,Ropa,10.0,R,Paquete Grande
00106,Sofía Méndez,Quetzaltenango,Izabal,Artículos de decoración,1.4,R,Bolsa
00107,Javier Ruiz,Alta Verapaz,Izabal,Electrodomésticos,5.8,E,Paquete Mediano
00108,Ana Rodríguez,Escuintla,Suchitepéquez,Artículos de decoración,0.4,T,Paquete Mediano
00109,María González,Izabal,Suchitepéquez,Juguetes,7.1,R,Paquete Mediano
00110,Andrés Ramírez,Guatemala,Alta Verapaz,Libros,5.1,T,Bolsa
00111,Andrés González,Izabal,Suchitepéquez,Artículos de decoración,2.4,T,Sobre
00112,Carlos González,Chimaltenango,Peten,Juguetes,3.1,T,Sobre
00113,Luisa López,Huehuetenango,Chimaltenango,Libros,7.4,E,Paquete Grande
00114,Carlos Ruiz,Quetzaltenango,Quetzaltenango,Artículos de decoración,5.6,R,Paquete Grande
00115,María González,Suchitepéquez,Huehuetenango,Juguetes,9.3,R,Paquete Grande
00116,Andrés Morales,Quetzaltenango,Alta Verapaz,Libros,5.3,E,Bolsa
00117,Javier López,Alta Verapaz,Sacatepéquez,Herramientas,0.4,R,Paquete Grande
00118,Carlos Méndez,Guatemala,Alta Verapaz,Herramientas,7.8,T,Bolsa
00119,Diego Ramírez,Peten,Escuintla,Libros,7.9,R,Paquete Mediano
00120,Diego Rodríguez,Guatemala,Alta Verapaz,Electrodomésticos,0.3,T,Paquete Mediano
00121,María López,Guatemala,Peten,Juguetes,3.5,E,Bolsa
00122,María Méndez,Escuintla,Guatemala,Herramientas,4.0,T,Sobre
00123,Andrés Morales,Huehuetenango,Peten,Ropa,8.4,T,Paquete Grande
00124,Andrés Rodríguez,Sacatepéquez,Izabal,Libros,3.0,R,Paquete Mediano
00125,Luisa González,Izabal,Escuintla,Artículos de decoración,9.3,R,Sobre
00126,Javier González,Suchitepéquez,Chimaltenango,Herramientas,7.5,T,Sobre
00127,María Castillo,Izabal,Izabal,Electrónicos,8.7,R,Sobre
00128,Diego Ramírez,Huehuetenango,Suchitepéquez,Ropa,4.0,R,Paquete Grande
00129,Luisa Morales,Sacatepéquez,Guatemala,Comida,6.5,R,Paquete Grande
00130,Carlos Méndez,Sacatepéquez,Escuintla,Juguetes,8.5,R,Sobre
00131,Sofía Morales,Alta Verapaz,Guatemala,Libros,6.3,T,Paquete Grande
00132,María Ramírez,Peten,Peten,Ropa,7.7,R,Sobre
00133,Ana Méndez,Escuintla,Escuintla,Libros,2.3,R,Paquete Mediano
00134,Carlos Méndez,Guatemala,Sacatepéquez,Juguetes,2.7,E,Paquete Mediano
00135,Sofía Méndez,Escuintla,Escuintla,Juguetes,1.8,R,Paquete Grande
00136,Diego Hernández,Guatemala,Alta Verapaz,Ropa,1.1,R,Paquete Grande
00137,Sofía Rodríguez,Izabal,Guatemala,Juguetes,7.7,R,Paquete Grande
00138,María Rodríguez,Quetzaltenango,Chimaltenango,Electrónicos,1.7,R,Bolsa
00139,María Rodríguez,Quetzaltenango,Izabal,Artículos de decoración,6.3,E,Paquete Mediano
00140,Juan López,Izabal,Chimaltenango,Juguetes,6.7,E,Paquete Mediano
00141,Juan Hernández,Alta Verapaz,Suchitepéquez,Artículos de decoración,5.7,T,Sobre
00142,María Rodríguez,Izabal,Huehuetenango,Electrodomésticos,7.2,R,Sobre
00143,Diego Rodríguez,Izabal,Suchitepéquez,Libros,9.7,T,Sobre
00144,Diego Rodríguez,Peten,Guatemala,Artículos de decoración,6.6,T,Bolsa
00145,Javier Ruiz,Quetzaltenango,Guatemala,Herramientas,1.3,E,Paquete Grande
00146,María González,Sacatepéquez,Sacatepéquez,Electrodomésticos,6.4,T,Bolsa
00147,Andrés Ramírez,Peten,Alta Verapaz,Electrodomésticos,2.6,E,Sobre
00148,Carolina Morales,Guatemala,Huehuetenango,Ropa,0.3,R,Sobre
00149,Andrés Castillo,Guatemala,Sacatepéquez,Artículos de decoración,4.3,E,Sobre
00150,Andrés Ruiz,Huehuetenango,Chimaltenango,Electrodomésticos,0.8,E,Bolsa
00151,Juan García,Peten,Izabal,Juguetes,0.6,T,Paquete Grande
00152,Carlos González,Guatemala,Sacatepéquez,Electrónicos,4.0,R,Bolsa
00153,Diego González,Quetzaltenango,Huehuetenango,Juguetes,5.0,R,Bolsa
00154,Carolina García,Peten,Suchitepéquez,Ropa,6.8,E,Paquete Grande
00155,Luisa González,Quetzaltenango,Quetzaltenango,Comida,0.5,R,Paquete Mediano
00156,Juan Hernández,Sacatepéquez,Suchitepéquez,Herramientas,2.7,T,Paquete Grande
00157,Javier Ramírez,Suchitepéquez,Izabal,Artículos de decoración,1.4,E,Bolsa
00158,Andrés González,Alta Verapaz,Izabal,Artículos de decoración,9.4,T,Paquete Mediano
00159,Carolina Méndez,Huehuetenango,Alta Verapaz,Juguetes,9.3,T,Paquete Mediano
00160,María García,Suchitepéquez,Escuintla,Artículos de decoración,5.3,R,Paquete Mediano
00161,Ana Castillo,Izabal,Sacatepéquez,Libros,0.2,R,Paquete Mediano
00162,Carlos Castillo,Alta Verapaz,Sacatepéquez,Electrónicos,8.1,R,Bolsa
00163,Carlos Ramírez,Izabal,Suchitepéquez,Electrodomésticos,6.3,R,Bolsa
00164,Juan Morales,Alta Verapaz,Peten,Comida,1.5,T,Sobre
00165,Javier Ruiz,Sacatepéquez,Suchitepéquez,Comida,9.1,T,Sobre
00166,Juan Ramírez,Sacatepéquez,Huehuetenango,Electrónicos,5.2,R,Paquete Grande
00167,Juan Méndez,Alta Verapaz,Izabal,Libros,6.7,R,Paquete Mediano
00168,Sofía Rodríguez,Chimaltenango,Guatemala,Libros,1.7,E,Sobre
00169,Sofía Morales,Quetzaltenango,Huehuetenango,Electrodomésticos,2.4,E,Paquete Mediano
00170,Javier Castillo,Izabal,Sacatepéquez,Herramientas,7.1,R,Paquete Grande
00171,Javier López,Chimaltenango,Escuintla,Herramientas,8.2,E,Bolsa
00172,Diego López,Alta Verapaz,Guatemala,Artículos de decoración,9.0,R,Paquete Grande
00173,Carlos Méndez,Peten,Guatemala,Artículos de decoración,8.8,E,Bolsa
00174,Carolina González,Chimaltenango,Huehuetenango,Libros,7.3,E,Paquete Mediano
00175,María Morales,Escuintla,Guatemala,Comida,0.5,R,Sobre
00176,Carolina Hernández,Izabal,Quetzaltenango,Libros,3.8,T,Paquete Grande
00177,Andrés García,Alta Verapaz,Guatemala,Ropa,1.5,R,Paquete Grande
00178,Luisa Rodríguez,Peten,Alta Verapaz,Herramientas,2.7,E,Sobre
00179,Luisa López,Huehuetenango,Guatemala,Comida,6.3,E,Paquete Mediano
00180,Ana Castillo,Huehuetenango,Alta Verapaz,Comida,1.4,T,Sobre
00181,Luisa García,Sacatepéquez,Suchitepéquez,Juguetes,1.4,T,Sobre
00182,Diego García,Izabal,Peten,Artículos de decoración,1.9,T,Paquete Mediano
00183,Juan Ramírez,Peten,Guatemala,Electrónicos,5.8,R,Paquete Grande
00184,Carolina Morales,Suchitepéquez,Peten,Juguetes,1.5,T,Paquete Grande
00185,Ana Ramírez,Alta Verapaz,Huehuetenango,Electrónicos,2.1,T,Paquete Mediano
00186,María García,Guatemala,Guatemala,Electrónicos,6.0,E,Paquete Grande
00187,Luisa Hernández,Quetzaltenango,Chimaltenango,Herramientas,2.9,E,Bolsa
00188,Ana Ruiz,Izabal,Guatemala,Artículos de decoración,0.3,E,Bolsa
00189,Javier Hernández,Chimaltenango,Alta Verapaz,Herramientas,7.8,T,Paquete Mediano
00190,Sofía Méndez,Chimaltenango,Quetzaltenango,Ropa,2.4,E,Bolsa
00191,Juan Castillo,Escuintla,Guatemala,Electrodomésticos,4.8,E,Paquete Grande
00192,Carlos Castillo,Suchitepéquez,Guatemala,Ropa,5.1,T,Sobre
00193,Javier Castillo,Peten,Chimaltenango,Libros,3.7,E,Bolsa
00194,María Méndez,Izabal,Sacatepéquez,Herramientas,0.4,E,Sobre
00195,Ana Hernández,Alta Verapaz,Sacatepéquez,Juguetes,3.0,R,Paquete Grande
00196,Luisa Méndez,Quetzaltenango,Chimaltenango,Artículos de decoración,1.9,E,Bolsa
00197,Juan Ramírez,Escuintla,Sacatepéquez,Juguetes,8.8,E,Paquete Grande
00198,Ana López,Izabal,Suchitepéquez,Herramientas,9.9,T,Paquete Grande
00199,Javier Morales,Alta Verapaz,Izabal,Herramientas,7.7,T,Bolsa
00200,Sofía Ruiz,Escuintla,Izabal,Libros,4.8,E,Sobre
00201,Carolina Rodríguez,Peten,Alta Verapaz,Artículos de decoración,1.1,T,Bolsa
00202,Diego González,Suchitepéquez,Escuintla,Artículos de decoración,2.3,E,Paquete Mediano
00203,Javier González,Escuintla,Izabal,Ropa,4.3,E,Paquete Grande
00204,Carlos Morales,Suchitepéquez,Sacatepéquez,Comida,8.2,T,Paquete Mediano
00205,Luisa González,Chimaltenango,Huehuetenango,Electrónicos,5.7,T,Paquete Grande
00206,Carolina Morales,Huehuetenango,Alta Verapaz,Ropa,3.8,E,Sobre
00207,María García,Izabal,Alta Verapaz,Comida,2.4,E,Bolsa
00208,Carlos Méndez,Quetzaltenango,Izabal,Comida,1.5,R,Bolsa
00209,Diego Hernández,Huehuetenango,Quetzaltenango,Electrodomésticos,4.9,R,Sobre
00210,Andrés Rodríguez,Peten,Alta Verapaz,Electrónicos,1.4,T,Paquete Grande
00211,María López,Huehuetenango,Guatemala,Juguetes,7.7,T,Paquete Mediano
00212,Ana López,Alta Verapaz,Izabal,Herramientas,6.7,R,Bolsa
00213,Ana Morales,Suchitepéquez,Escuintla,Artículos de decoración,0.9,T,Sobre
00214,Sofía Rodríguez,Chimaltenango,Peten,Comida,1.5,E,Sobre
00215,Carlos López,Sacatepéquez,Alta Verapaz,Ropa,5.6,E,Paquete Grande
00216,Carolina Ramírez,Izabal,Escuintla,Artículos de decoración,7.2,T,Bolsa
00217,María Ruiz,Sacatepéquez,Guatemala,Electrodomésticos,1.4,T,Bolsa
00218,Juan Morales,Alta Verapaz,Chimaltenango,Juguetes,0.7,T,Bolsa
00219,Carlos Ruiz,Guatemala,Suchitepéquez,Artículos de decoración,7.9,R,Bolsa
00220,Carolina Ramírez,Peten,Quetzaltenango,Juguetes,1.0,E,Sobre
00221,Ana García,Peten,Suchitepéquez,Comida,7.4,T,Sobre
00222,Juan González,Guatemala,Alta Verapaz,Ropa,9.1,E,Bolsa
00223,Carlos Castillo,Alta Verapaz,Izabal,Ropa,2.2,T,Sobre
00224,Sofía Ramírez,Izabal,Alta Verapaz,Electrónicos,4.8,E,Sobre
00225,María Ruiz,Escuintla,Sacatepéquez,Artículos de decoración,3.3,E,Paquete Mediano
00226,Carolina González,Izabal,Huehuetenango,Electrónicos,6.9,R,Paquete Mediano
00227,Carolina López,Peten,Escuintla,Electrónicos,3.2,E,Paquete Grande
00228,Carolina Ramírez,Peten,Izabal,Electrónicos,1.3,E,Paquete Mediano
00229,Juan Castillo,Suchitepéquez,Escuintla,Electrónicos,9.9,T,Bolsa
00230,Ana García,Huehuetenango,Alta Verapaz,Libros,1.8,E,Sobre
00231,Andrés Ramírez,Suchitepéquez,Chimaltenango,Ropa,6.5,E,Bolsa
00232,Carolina Rodríguez,Alta Verapaz,Guatemala,Juguetes,8.9,T,Paquete Grande
00233,Andrés Méndez,Quetzaltenango,Escuintla,Juguetes,9.8,R,Paquete Grande
00234,Luisa López,Izabal,Escuintla,Electrodomésticos,1.0,E,Paquete Grande
00235,Andrés Méndez,Chimaltenango,Chimaltenango,Comida,5.9,R,Paquete Grande
00236,Andrés García,Alta Verapaz,Suchitepéquez,Libros,4.0,T,Paquete Grande
00237,Diego González,Alta Verapaz,Alta Verapaz,Comida,4.9,R,Sobre
00238,Sofía López,Guatemala,Alta Verapaz,Juguetes,3.8,T,Bolsa
00239,Diego Castillo,Alta Verapaz,Sacatepéquez,Electrónicos,1.8,T,Bolsa
00240,Javier Hernández,Peten,Alta Verapaz,Electrónicos,5.8,E,Sobre
00241,Juan Morales,Huehuetenango,Quetzaltenango,Libros,7.1,R,Bolsa
00242,Sofía Rodríguez,Suchitepéquez,Alta Verapaz,Comida,8.3,E,Paquete Grande
00243,Luisa Ruiz,Suchitepéquez,Huehuetenango,Herramientas,3.1,E,Bolsa
00244,Luisa Castillo,Quetzaltenango,Chimaltenango,Juguetes,3.0,T,Paquete Mediano
00245,María Castillo,Chimaltenango,Izabal,Libros,0.7,E,Paquete Grande
00246,Ana Ramírez,Guatemala,Peten,Juguetes,9.1,R,Bolsa
00247,María Rodríguez,Sacatepéquez,Sacatepéquez,Juguetes,1.1,T,Bolsa
00248,Andrés Ramírez,Izabal,Guatemala,Ropa,4.1,E,Paquete Grande
00249,Carlos Ruiz,Quetzaltenango,Chimaltenango,Ropa,8.3,R,Bolsa
00250,Andrés González,Guatemala,Chimaltenango,Libros,8.8,T,Sobre
00251,Sofía Méndez,Huehuetenango,Alta Verapaz,Herramientas,6.3,T,Paquete Grande
00252,Juan González,Sacatepéquez,Sacatepéquez,Ropa,9.2,R,Paquete Mediano
00253,María Ramírez,Sacatepéquez,Peten,Artículos de decoración,8.0,R,Paquete Mediano
00254,Sofía Ramírez,Sacatepéquez,Escuintla,Artículos de decoración,1.4,R,Bolsa
00255,María Rodríguez,Huehuetenango,Izabal,Electrodomésticos,7.4,E,Paquete Grande
00256,Sofía López,Chimaltenango,Guatemala,Juguetes,4.8,R,Bolsa
00257,Diego Ramírez,Guatemala,Huehuetenango,Juguetes,4.2,E,Bolsa
00258,Andrés Rodríguez,Sacatepéquez,Alta Verapaz,Artículos de decoración,7.8,T,Paquete Mediano
00259,Sofía López,Izabal,Quetzaltenango,Libros,2.5,R,Sobre
00260,Ana Castillo,Peten,Escuintla,Comida,1.1,R,Bolsa
00261,Carolina Méndez,Izabal,Huehuetenango,Juguetes,0.2,T,Sobre
00262,Ana Ruiz,Quetzaltenango,Escuintla,Libros,4.7,E,Paquete Grande
00263,Sofía González,Izabal,Huehuetenango,Electrónicos,3.7,T,Bolsa
00264,Juan Hernández,Sacatepéquez,Suchitepéquez,Juguetes,1.6,E,Sobre
00265,Andrés Hernández,Guatemala,Peten,Electrónicos,3.4,E,Paquete Mediano
00266,Carolina González,Quetzaltenango,Guatemala,Artículos de decoración,5.5,R,Sobre
00267,Luisa Ruiz,Izabal,Suchitepéquez,Electrónicos,3.6,E,Sobre
00268,Andrés Morales,Alta Verapaz,Huehuetenango,Electrónicos,5.3,T,Sobre
00269,Juan Castillo,Quetzaltenango,Sacatepéquez,Artículos de decoración,3.6,E,Paquete Grande
00270,Diego Morales,Suchitepéquez,Izabal,Juguetes,3.5,T,Paquete Mediano
00271,Diego López,Guatemala,Huehuetenango,Comida,3.9,T,Paquete Grande
00272,Ana Rodríguez,Suchitepéquez,Escuintla,Artículos de decoración,1.4,T,Paquete Grande
00273,Diego Castillo,Quetzaltenango,Sacatepéquez,Electrodomésticos,2.7,T,Sobre
00274,Javier Ruiz,Suchitepéquez,Quetzaltenango,Ropa,8.0,T,Paquete Mediano
00275,Carlos Hernández,Huehuetenango,Huehuetenango,Libros,7.5,R,Bolsa
00276,Juan García,Peten,Suchitepéquez,Juguetes,6.5,E,Paquete Grande
00277,Juan Ruiz,Guatemala,Huehuetenango,Electrónicos,7.9,R,Paquete Grande
00278,Carolina Hernández,Izabal,Izabal,Juguetes,3.0,E,Paquete Mediano
00279,Juan Hernández,Alta Verapaz,Chimaltenango,Ropa,2.4,T,Paquete Mediano
00280,Carlos Rodríguez,Escuintla,Escuintla,Ropa,4.3,R,Paquete Grande
00281,Javier Rodríguez,Suchitepéquez,Sacatepéquez,Electrónicos,7.0,R,Bolsa
00282,Javier Méndez,Peten,Alta Verapaz,Artículos de decoración,7.5,T,Paquete Mediano
00283,Javier Hernández,Izabal,Sacatepéquez,Comida,8.1,E,Paquete Grande
00284,Javier Rodríguez,Chimaltenango,Sacatepéquez,Juguetes,7.9,R,Paquete Grande
00285,Sofía Ramírez,Escuintla,Guatemala,Juguetes,6.2,R,Bolsa
00286,Diego Morales,Peten,Suchitepéquez,Artículos de decoración,9.7,E,Sobre
00287,Andrés Méndez,Sacatepéquez,Huehuetenango,Comida,5.0,T,Paquete Grande
00288,Ana Castillo,Chimaltenango,Izabal,Herramientas,4.3,R,Paquete Mediano
00289,María García,Suchitepéquez,Escuintla,Ropa,0.4,T,Sobre
00290,Diego López,Chimaltenango,Guatemala,Ropa,2.3,E,Sobre
00291,Luisa Méndez,Izabal,Chimaltenango,Comida,5.6,E,Sobre
00292,Javier Rodríguez,Guatemala,Quetzaltenango,Artículos de decoración,1.8,R,Sobre
00293,Juan Morales,Chimaltenango,Izabal,Electrodomésticos,5.8,T,Paquete Grande
00294,Andrés Ruiz,Guatemala,Chimaltenango,Ropa,1.4,T,Paquete Mediano
00295,Sofía Morales,Guatemala,Quetzaltenango,Herramientas,8.8,T,Sobre
00296,Carolina Castillo,Peten,Suchitepéquez,Libros,9.4,R,Paquete Grande
00297,Sofía Méndez,Huehuetenango,Sacatepéquez,Comida,5.7,E,Paquete Mediano
00298,Carlos Ramírez,Huehuetenango,Alta Verapaz,Electrónicos,7.3,R,Paquete Grande
00299,Andrés García,Sacatepéquez,Izabal,Electrodomésticos,6.7,R,Paquete Grande
00300,Diego Castillo,Guatemala,Izabal,Juguetes,9.5,T,Bolsa
00301,Sofía López,Izabal,Alta Verapaz,Juguetes,7.9,T,Paquete Mediano
00302,Luisa Morales,Peten,Chimaltenango,Libros,7.7,T,Sobre
00303,Andrés Ruiz,Izabal,Guatemala,Libros,2.9,E,Bolsa
00304,Andrés Morales,Suchitepéquez,Quetzaltenango,Electrodomésticos,1.9,E,Paquete Mediano
00305,Carolina Morales,Huehuetenango,Peten,Libros,5.2,T,Paquete Mediano
00306,Diego Castillo,Quetzaltenango,Quetzaltenango,Artículos de decoración,4.3,T,Bolsa
00307,Juan Ruiz,Suchitepéquez,Suchitepéquez,Electrodomésticos,5.1,E,Paquete Grande
00308,Carolina González,Huehuetenango,Suchitepéquez,Libros,1.7,R,Bolsa
00309,Luisa Ramírez,Chimaltenango,Peten,Electrodomésticos,8.3,R,Paquete Mediano
00310,Carolina Méndez,Alta Verapaz,Izabal,Electrodomésticos,0.4,R,Paquete Grande
00311,Ana Castillo,Quetzaltenango,Quetzaltenango,Ropa,8.4,R,Paquete Grande
